Session at 2022-05-11 23:14:09.369045 


=====Trial 1=====
02 01 18
06 01 10
11 03 09
03 01 16
12 03 05
05 01 12
07 01 08
09 02 11
01 01 20
04 01 14
10 02 07
08 01 06

=====Trial 2=====
01 01 20
06 01 10
12 03 05
03 01 16
05 01 12
10 02 07
02 01 18
11 03 09
09 02 11
04 01 14
07 01 08
08 01 06

=====Trial 3=====
01 01 20
03 01 16
02 01 18
06 01 10
05 01 12
08 01 06
12 03 05
04 01 14
07 01 08
11 03 09
09 02 11
10 02 07

=====Trial 4=====
02 01 18
06 01 10
09 02 11
12 03 05
03 01 16
07 01 08
05 01 12
01 01 20
11 03 09
08 01 06
04 01 14
10 02 07

=====Trial 5=====
10 02 07
01 01 20
05 01 12
11 03 09
08 01 06
06 01 10
07 01 08
12 03 05
09 02 11
03 01 16
02 01 18
04 01 14
Session finished.

