Session at 2022-05-15 15:04:38.594427 


=====Trial 1=====
07 01 08
10 02 07
11 03 09
12 03 05
03 01 16
01 01 20
08 01 06
06 01 10
05 01 12
02 01 18
04 01 14
09 02 11

=====Trial 2=====
12 03 05
03 01 16
04 01 14
10 02 07
08 01 06
11 03 09
02 01 18
06 01 10
01 01 20
05 01 12
09 02 11
07 01 08

=====Trial 3=====
08 01 06
05 01 12
10 02 07
02 01 18
01 01 20
11 03 09
07 01 08
03 01 16
09 02 11
12 03 05
04 01 14
06 01 10

=====Trial 4=====
03 01 16
05 01 12
10 02 07
01 01 20
11 03 09
07 01 08
12 03 05
06 01 10
02 01 18
08 01 06
09 02 11
04 01 14

=====Trial 5=====
06 01 10
04 01 14
03 01 16
08 01 06
11 03 09
02 01 18
10 02 07
09 02 11
07 01 08
05 01 12
01 01 20
12 03 05
Session finished.

