Session at 2022-05-11 21:58:43.574343 


=====Trial 1=====
06 01 10
11 03 09
01 01 20
04 01 14
10 02 07
12 03 05
08 01 06
07 01 08
09 02 11
03 01 16
05 01 12
02 01 18

=====Trial 2=====
06 01 10
11 03 09
12 03 05
01 01 20
10 02 07
04 01 14
07 01 08
09 02 11
02 01 18
05 01 12
03 01 16
08 01 06

=====Trial 3=====
09 02 11
10 02 07
08 01 06
12 03 05
03 01 16
05 01 12
01 01 20
07 01 08
11 03 09
04 01 14
06 01 10
02 01 18

=====Trial 4=====
11 03 09
09 02 11
02 01 18
08 01 06
03 01 16
07 01 08
05 01 12
06 01 10
01 01 20
12 03 05
10 02 07
04 01 14

=====Trial 5=====
06 01 10
12 03 05
08 01 06
07 01 08
10 02 07
09 02 11
11 03 09
02 01 18
01 01 20
04 01 14
05 01 12
03 01 16
Session finished.

